,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
0,8743a0203ffffff,8743a1223ffffff,1,108.3293702264155,6,328,1.791759469228055,5.793013608384144,11.592940820513535,0.0
1,8743a0203ffffff,8743a1224ffffff,1,106.08983016775277,6,845,1.791759469228055,6.739336627357174,11.572050894549978,0.0
2,8743a0203ffffff,8743a1225ffffff,2,108.33512448074126,6,598,1.791759469228055,6.393590753950631,11.59299393674948,0.6931471805599453
3,8743a0203ffffff,8743a1226ffffff,2,104.93933572704833,6,670,1.791759469228055,6.507277712385012,11.561147236464176,0.6931471805599453
4,8743a0221ffffff,8743a0226ffffff,1,4.446659445370269,2,1,0.6931471805599453,0.0,8.400133269458424,0.0
5,8743a0221ffffff,8743a1371ffffff,1,112.8565603085942,2,543,0.6931471805599453,6.297109319933935,11.63388177431796,0.0
6,8743a02d0ffffff,8743a02ccffffff,1,9.506533906197799,3,3,1.0986122886681098,1.0986122886681098,9.159839806054041,0.0
7,8743a02d0ffffff,8743a02d0ffffff,1,0.0,3,1,1.0986122886681098,0.0,0.0,0.0
8,8743a02d0ffffff,8743a392cffffff,1,4.1163099763230795,3,1,1.0986122886681098,0.0,8.322955310731365,0.0
9,8743a02eaffffff,8743a02c5ffffff,1,2.2256757340734126,6,1,1.791759469228055,0.0,7.708265050042948,0.0
10,8743a02eaffffff,8743a02ccffffff,2,2.417310002089235,6,3,1.791759469228055,1.0986122886681098,7.790824228949291,0.6931471805599453
11,8743a02eaffffff,8743a02e3ffffff,1,4.058111879289961,6,1,1.791759469228055,0.0,8.30871947972338,0.0
12,8743a02eaffffff,8743a15a2ffffff,1,10.074317083088143,6,1,1.791759469228055,0.0,9.217843858586455,0.0
13,8743a02eaffffff,8743a15b6ffffff,1,4.453336485267914,6,1,1.791759469228055,0.0,8.401633391723548,0.0
14,8743a1200ffffff,8743a1200ffffff,32,0.0,119,292,4.77912349311153,5.676753802268282,0.0,3.4657359027997265
15,8743a1200ffffff,8743a1201ffffff,5,2.255876297752815,119,115,4.77912349311153,4.74493212836325,7.721736967053574,1.6094379124341003
16,8743a1200ffffff,8743a1202ffffff,2,2.2855566326421832,119,68,4.77912349311153,4.219507705176107,7.734802311058245,0.6931471805599453
17,8743a1200ffffff,8743a1203ffffff,23,2.434358453234909,119,257,4.77912349311153,5.54907608489522,7.797849233403252,3.1354942159291497
18,8743a1200ffffff,8743a1204ffffff,3,2.434298683717363,119,422,4.77912349311153,6.045005314036012,7.797824690711837,1.0986122886681098
19,8743a1200ffffff,8743a1205ffffff,4,2.2861599673636603,119,295,4.77912349311153,5.68697535633982,7.735066137953412,1.3862943611198906
20,8743a1200ffffff,8743a1206ffffff,1,2.2552255823925424,119,172,4.77912349311153,5.147494476813453,7.721448599814339,0.0
21,8743a1200ffffff,8743a1220ffffff,1,6.40819442687645,119,473,4.77912349311153,6.159095388491933,8.765488867582771,0.0
22,8743a1200ffffff,8743a1222ffffff,1,4.868536889364043,119,253,4.77912349311153,5.53338948872752,8.49075411696842,0.0
23,8743a1200ffffff,8743a1223ffffff,3,4.1495560979045445,119,328,4.77912349311153,5.793013608384144,8.330997603742684,1.0986122886681098
24,8743a1200ffffff,8743a1224ffffff,1,8.761509363491111,119,845,4.77912349311153,6.739336627357174,9.078237599928991,0.0
25,8743a1200ffffff,8743a1231ffffff,1,4.0983559173958195,119,210,4.77912349311153,5.3471075307174685,8.31858514703386,0.0
26,8743a1200ffffff,8743a1270ffffff,2,10.21370692728429,119,224,4.77912349311153,5.4116460518550396,9.231583816412762,0.6931471805599453
27,8743a1200ffffff,8743a12e0ffffff,20,11.095198604927846,119,268,4.77912349311153,5.5909869805108565,9.31435786062034,2.995732273553991
28,8743a1200ffffff,8743a12e1ffffff,2,12.711433269179391,119,21,4.77912349311153,3.044522437723423,9.450335791114279,0.6931471805599453
29,8743a1200ffffff,8743a12e4ffffff,16,8.707090720483667,119,174,4.77912349311153,5.159055299214529,9.072007840362144,2.772588722239781
30,8743a1200ffffff,8743a12e5ffffff,1,10.41556213258076,119,31,4.77912349311153,3.4339872044851463,9.251152331173838,0.0
31,8743a1200ffffff,8743a12e6ffffff,1,9.737785342932709,119,43,4.77912349311153,3.7612001156935624,9.183871680742085,0.0
32,8743a1203ffffff,8743a1200ffffff,46,2.434358453234909,219,292,5.389071729816501,5.676753802268282,7.797849233403252,3.828641396489095
33,8743a1203ffffff,8743a1201ffffff,12,2.286012943020346,219,115,5.389071729816501,4.74493212836325,7.735001853394762,2.4849066497880004
34,8743a1203ffffff,8743a1202ffffff,6,2.2554383007299506,219,68,5.389071729816501,4.219507705176107,7.721542875986053,1.791759469228055
35,8743a1203ffffff,8743a1203ffffff,48,0.0,219,257,5.389071729816501,5.54907608489522,0.0,3.871201010907891
36,8743a1203ffffff,8743a1204ffffff,14,4.868657136952272,219,422,5.389071729816501,6.045005314036012,8.490778810508338,2.6390573296152584
37,8743a1203ffffff,8743a1205ffffff,13,4.149348966727161,219,295,5.389071729816501,5.68697535633982,8.330947698057505,2.5649493574615367
38,8743a1203ffffff,8743a1206ffffff,2,4.0987433441208925,219,172,5.389071729816501,5.147494476813453,8.318679651738096,0.6931471805599453
39,8743a1203ffffff,8743a1220ffffff,2,8.761394156453447,219,473,5.389071729816501,6.159095388491933,9.0782244521205,0.6931471805599453
40,8743a1203ffffff,8743a1222ffffff,4,7.302895342598953,219,253,5.389071729816501,5.53338948872752,8.896163093393252,1.3862943611198906
41,8743a1203ffffff,8743a1223ffffff,2,6.408025012461268,219,328,5.389071729816501,5.793013608384144,8.7654624342055,0.6931471805599453
42,8743a1203ffffff,8743a1224ffffff,1,11.149615299716713,219,845,5.389071729816501,6.739336627357174,9.319249959196789,0.0
43,8743a1203ffffff,8743a1225ffffff,3,10.519401549396129,219,598,5.389071729816501,6.393590753950631,9.261071655657931,1.0986122886681098
44,8743a1203ffffff,8743a1226ffffff,1,9.737072361727227,219,670,5.389071729816501,6.507277712385012,9.183798467576326,0.0
45,8743a1203ffffff,8743a1228ffffff,2,6.8598483635046295,219,113,5.389071729816501,4.727387818712341,8.833586381223018,0.6931471805599453
46,8743a1203ffffff,8743a1229ffffff,1,8.083277021247389,219,32,5.389071729816501,3.4657359027997265,8.997676345779949,0.0
47,8743a1203ffffff,8743a122bffffff,4,5.898148111167513,219,24,5.389071729816501,3.1780538303479458,8.682563231531159,1.3862943611198906
48,8743a1203ffffff,8743a1231ffffff,7,6.352976071157657,219,210,5.389071729816501,5.3471075307174685,8.756836048872993,1.9459101490553132
49,8743a1203ffffff,8743a1270ffffff,1,9.651109223226184,219,224,5.389071729816501,5.4116460518550396,9.174931742804619,0.0
50,8743a1203ffffff,8743a1274ffffff,1,9.686207157391031,219,44,5.389071729816501,3.784189633918261,9.178561444290226,0.0
51,8743a1203ffffff,8743a12e0ffffff,18,8.707622027155056,219,268,5.389071729816501,5.5909869805108565,9.072068851493148,2.8903717578961645
52,8743a1203ffffff,8743a12e1ffffff,2,10.416419148335468,219,21,5.389071729816501,3.044522437723423,9.251234602127587,0.6931471805599453
53,8743a1203ffffff,8743a12e4ffffff,22,6.355116609077322,219,174,5.389071729816501,5.159055299214529,8.757172873787454,3.091042453358316
54,8743a1203ffffff,8743a12e5ffffff,1,8.201328503043577,219,31,5.389071729816501,3.4339872044851463,9.012173356728061,0.0
55,8743a1203ffffff,8743a12e6ffffff,4,7.3034268896978,219,43,5.389071729816501,3.7612001156935624,8.896235866582483,1.3862943611198906
56,8743a1203ffffff,8743a1350ffffff,1,12.488048000699202,219,500,5.389071729816501,6.214608098422191,9.432607379293861,0.0
57,8743a1203ffffff,8743a1388ffffff,1,11.270681210421424,219,199,5.389071729816501,5.293304824724492,9.33004877163329,0.0
58,8743a1204ffffff,8743a1200ffffff,3,2.434298683717363,84,292,4.430816798843313,5.676753802268282,7.797824690711837,1.0986122886681098
