origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow
8728d0b42ffffff,8728d0a01ffffff,5,13.34843093073301,2255,5,7.720905251936779,1.6094379124341003,9.499229036008458,1.6094379124341003
8728d0b42ffffff,8728d0a09ffffff,57,14.075410838997744,2255,57,7.720905251936779,4.04305126783455,9.552255685213446,4.04305126783455
8728d0b42ffffff,8728d0a0cffffff,32,12.550738779532326,2255,32,7.720905251936779,3.4657359027997265,9.437614483132926,3.4657359027997265
8728d0b42ffffff,8728d0a56ffffff,68,16.09336537402476,2255,68,7.720905251936779,4.219507705176107,9.686224512947744,4.219507705176107
8728d0b42ffffff,8728d0ae0ffffff,5,20.20018114617227,2255,5,7.720905251936779,1.6094379124341003,9.913496354262627,1.6094379124341003
8728d0b42ffffff,8728d0ae4ffffff,58,18.32890316587716,2255,58,7.720905251936779,4.060443010546419,9.816289057998038,4.060443010546419
8728d0b42ffffff,8728d0b00ffffff,15,14.582243695904507,2255,15,7.720905251936779,2.70805020110221,9.587628456532213,2.70805020110221
8728d0b42ffffff,8728d0b01ffffff,25,12.353185691687408,2255,25,7.720905251936779,3.2188758248682006,9.421750207038738,3.2188758248682006
8728d0b42ffffff,8728d0b08ffffff,2,9.007745959296791,2255,2,7.720905251936779,0.6931471805599453,9.105951157707599,0.6931471805599453
8728d0b42ffffff,8728d0b09ffffff,1,6.754893661973291,2255,1,7.720905251936779,0.0,8.818170538013009,0.0
8728d0b42ffffff,8728d0b0cffffff,25,10.13600171483223,2255,25,7.720905251936779,3.2188758248682006,9.22394754454804,3.2188758248682006
8728d0b42ffffff,8728d0b0effffff,21,11.261208269764209,2255,21,7.720905251936779,3.044522437723423,9.32920799878548,3.044522437723423
8728d0b42ffffff,8728d0b20ffffff,36,17.00053152791888,2255,36,7.720905251936779,3.58351893845611,9.741058708858086,3.58351893845611
8728d0b42ffffff,8728d0b22ffffff,9,17.38204272088154,2255,9,7.720905251936779,2.1972245773362196,9.763250453742724,2.1972245773362196
8728d0b42ffffff,8728d0b24ffffff,7,18.82035283266901,2255,7,7.720905251936779,1.9459101490553132,9.842747293269483,1.9459101490553132
8728d0b42ffffff,8728d0b26ffffff,31,19.017560485369017,2255,31,7.720905251936779,3.4339872044851463,9.85317064897488,3.4339872044851463
8728d0b42ffffff,8728d0b2affffff,97,11.583155224431495,2255,97,7.720905251936779,4.574710978503383,9.357393514434847,4.574710978503383
8728d0b42ffffff,8728d0b35ffffff,4,19.513421776679905,2255,4,7.720905251936779,1.3862943611198906,9.87890904948986,1.3862943611198906
8728d0b42ffffff,8728d0b40ffffff,1,2.4096058182163276,2255,1,7.720905251936779,0.0,7.787633371748082,0.0
